path_profile,profileSize,typeAF,numArg,IC_path,semantics,execution_time
./fusionAF/bench/5/profile_20,10,Barabasi-Albert,5,./fusionAF/constraint/constraint5.txt,preferred,0.4354
./fusionAF/bench/5/profile_7,10,Barabasi-Albert,5,./fusionAF/constraint/constraint5.txt,preferred,0.44
./fusionAF/bench/5/profile_11,10,Barabasi-Albert,5,./fusionAF/constraint/constraint5.txt,preferred,0.4023
./fusionAF/bench/5/profile_9,10,Barabasi-Albert,5,./fusionAF/constraint/constraint5.txt,preferred,0.4017
./fusionAF/bench/5/profile_15,10,Barabasi-Albert,5,./fusionAF/constraint/constraint5.txt,preferred,0.4373
./fusionAF/bench/5/profile_12,10,Barabasi-Albert,5,./fusionAF/constraint/constraint5.txt,preferred,0.458
./fusionAF/bench/5/profile_14,10,Barabasi-Albert,5,./fusionAF/constraint/constraint5.txt,preferred,0.4286
./fusionAF/bench/5/profile_2,10,Barabasi-Albert,5,./fusionAF/constraint/constraint5.txt,preferred,0.4084
./fusionAF/bench/5/profile_18,10,Barabasi-Albert,5,./fusionAF/constraint/constraint5.txt,preferred,0.4193
./fusionAF/bench/5/profile_8,10,Barabasi-Albert,5,./fusionAF/constraint/constraint5.txt,preferred,0.4631
./fusionAF/bench/5/profile_1,10,Barabasi-Albert,5,./fusionAF/constraint/constraint5.txt,preferred,0.4246
./fusionAF/bench/5/profile_19,10,Barabasi-Albert,5,./fusionAF/constraint/constraint5.txt,preferred,0.464
./fusionAF/bench/5/profile_13,10,Barabasi-Albert,5,./fusionAF/constraint/constraint5.txt,preferred,0.4237
./fusionAF/bench/5/profile_17,10,Barabasi-Albert,5,./fusionAF/constraint/constraint5.txt,preferred,0.4018
./fusionAF/bench/5/profile_16,10,Barabasi-Albert,5,./fusionAF/constraint/constraint5.txt,preferred,0.408
./fusionAF/bench/5/profile_5,10,Barabasi-Albert,5,./fusionAF/constraint/constraint5.txt,preferred,0.4387
./fusionAF/bench/5/profile_6,10,Barabasi-Albert,5,./fusionAF/constraint/constraint5.txt,preferred,0.4193
./fusionAF/bench/5/profile_3,10,Barabasi-Albert,5,./fusionAF/constraint/constraint5.txt,preferred,0.4692
./fusionAF/bench/5/profile_4,10,Barabasi-Albert,5,./fusionAF/constraint/constraint5.txt,preferred,0.4209
./fusionAF/bench/5/profile_10,10,Barabasi-Albert,5,./fusionAF/constraint/constraint5.txt,preferred,0.4514
./fusionAF/bench/10/profile_20,10,Barabasi-Albert,10,./fusionAF/constraint/constraint10.txt,preferred,0.5117
./fusionAF/bench/10/profile_7,10,Barabasi-Albert,10,./fusionAF/constraint/constraint10.txt,preferred,0.4994
./fusionAF/bench/10/profile_11,10,Barabasi-Albert,10,./fusionAF/constraint/constraint10.txt,preferred,0.5259
./fusionAF/bench/10/profile_9,10,Barabasi-Albert,10,./fusionAF/constraint/constraint10.txt,preferred,0.5392
./fusionAF/bench/10/profile_15,10,Barabasi-Albert,10,./fusionAF/constraint/constraint10.txt,preferred,0.5545
./fusionAF/bench/10/profile_12,10,Barabasi-Albert,10,./fusionAF/constraint/constraint10.txt,preferred,0.5643
./fusionAF/bench/10/profile_14,10,Barabasi-Albert,10,./fusionAF/constraint/constraint10.txt,preferred,0.5396
./fusionAF/bench/10/profile_2,10,Barabasi-Albert,10,./fusionAF/constraint/constraint10.txt,preferred,0.5202
./fusionAF/bench/10/profile_18,10,Barabasi-Albert,10,./fusionAF/constraint/constraint10.txt,preferred,0.5536
./fusionAF/bench/10/profile_8,10,Barabasi-Albert,10,./fusionAF/constraint/constraint10.txt,preferred,0.5356
./fusionAF/bench/10/profile_1,10,Barabasi-Albert,10,./fusionAF/constraint/constraint10.txt,preferred,0.5477
./fusionAF/bench/10/profile_19,10,Barabasi-Albert,10,./fusionAF/constraint/constraint10.txt,preferred,0.5204
./fusionAF/bench/10/profile_13,10,Barabasi-Albert,10,./fusionAF/constraint/constraint10.txt,preferred,0.543
./fusionAF/bench/10/profile_17,10,Barabasi-Albert,10,./fusionAF/constraint/constraint10.txt,preferred,0.5287
./fusionAF/bench/10/profile_16,10,Barabasi-Albert,10,./fusionAF/constraint/constraint10.txt,preferred,0.5211
./fusionAF/bench/10/profile_5,10,Barabasi-Albert,10,./fusionAF/constraint/constraint10.txt,preferred,0.55
./fusionAF/bench/10/profile_6,10,Barabasi-Albert,10,./fusionAF/constraint/constraint10.txt,preferred,0.4738
./fusionAF/bench/10/profile_3,10,Barabasi-Albert,10,./fusionAF/constraint/constraint10.txt,preferred,0.5281
./fusionAF/bench/10/profile_4,10,Barabasi-Albert,10,./fusionAF/constraint/constraint10.txt,preferred,0.4956
./fusionAF/bench/10/profile_10,10,Barabasi-Albert,10,./fusionAF/constraint/constraint10.txt,preferred,0.514
./fusionAF/bench/15/profile_20,10,Barabasi-Albert,15,./fusionAF/constraint/constraint15.txt,preferred,0.6017
./fusionAF/bench/15/profile_7,10,Barabasi-Albert,15,./fusionAF/constraint/constraint15.txt,preferred,0.6919
./fusionAF/bench/15/profile_11,10,Barabasi-Albert,15,./fusionAF/constraint/constraint15.txt,preferred,0.7886
./fusionAF/bench/15/profile_9,10,Barabasi-Albert,15,./fusionAF/constraint/constraint15.txt,preferred,0.7234
./fusionAF/bench/15/profile_15,10,Barabasi-Albert,15,./fusionAF/constraint/constraint15.txt,preferred,0.6549
